label,tweet
0,"i p l "" "" i p l 2 0 2 1 "" "" i p l c a n c e l "" "" r c b "" "" r c b "" "" s "" "" y u z i "" "" c h a h a l "" "" g e t s "" "" e m o t i o n a l "" "" a s "" "" i p l "" "" g e t s "" "" s u s p e n d e d "" "" c h e c k "" "" o u t"
1,"r t "" "" i t z "" "" a r u n t w i t z 2 "" "" c s k "" "" t o s s "" "" w i n "" "" b a t t i n g "" "" f i r s t "" "" c s k "" "" c s k v s r r "" "" w h i s t l e p o d u"
0,"r t "" "" t w e e t s d k e "" "" r c b "" "" f a n s "" "" r i g h t "" "" n o w "" "" i p l c a n c e l "" "" b c c i "" "" r c b i a n s "" "" i p l c o v i d b r e a c h "" "" i p l 2 0 2 1"
0,"o k a y "" "" s o "" "" h e r e "" "" i t "" "" c o m e s "" "" i p l 2 0 2 1 "" "" s u s p e n d e d "" "" i n d e f i n i t e l y "" "" c s k "" "" r c b "" "" d c "" "" k k r "" "" r r "" "" m i "" "" s r h "" "" p b k s "" "" b c c i "" "" i c c "" "" c r i c b u z z "" "" c o r o n a p a n d e m i c"
1,"r t "" "" b r u t u a l "" "" k i n g 1 8 "" "" t h i s "" "" r o a r i n g "" "" c e l e b r a t i o n "" "" g t "" "" g t "" "" g t "" "" g t "" "" g t "" "" r c b "" "" i m v k o h l i"
1,"8 "" "" y e a r s "" "" o f "" "" i c o n i c "" "" 7 9 "" "" i m r o 4 5 "" "" r o h i t s h a r m a "" "" m i "" "" l"
1,"r e p o s t "" "" w e r e "" "" w i t h "" "" y o u "" "" a l l "" "" i n "" "" w i s h i n g "" "" o u r "" "" k n i g h t s "" "" a "" "" s p e e d y "" "" r e c o v e r y "" "" k k r "" "" i p l 2 0 2 1 "" "" k o l"
0,"k k r "" "" m a n a g e m e n t "" "" b c c i "" "" a n d "" "" d d c a "" "" m a n a g e m e n t "" "" i s "" "" r e s p o n s i b l e "" "" f o r "" "" t h i s "" "" h o p i n g "" "" a n d "" "" w i s h i n g "" "" e v e r y o n e "" "" i s "" "" s a f e "" "" a n d "" "" h e a t h y"
1,"e n g l a n d "" "" w o m a n "" "" c r i c k e t e r "" "" k a t e c r o s s "" "" c s k "" "" c h e n n a i s u p e r k i n g s "" "" i p l 2 0 2 1"
0,"r e t a i n "" "" w a r n e r "" "" o t h e r w i s e "" "" n o "" "" o n e "" "" w i l l "" "" s u p p o r t "" "" s u n r i s e r s "" "" h y d e r a b a d "" "" b r i n g b a c k w a r n e r "" "" s r h "" "" s u n r i s e r s h y d e r a b a d"
1,"t y a g i k t k "" "" u n i t e r r f a n s "" "" p r o u d "" "" o f "" "" y o u "" "" b r o t h e r "" "" r r"
1,"r t "" "" m i p a l t a n "" "" m i "" "" t e a m "" "" p h y s i c i a n "" "" d r "" "" s w a p n e i l "" "" p a r i k h "" "" b r e a k s "" "" d o w n "" "" a "" "" m y t h "" "" a r o u n d "" "" t h e "" "" c o v i d "" "" 1 9 "" "" v a c c i n e "" "" a n d "" "" t e l l s "" "" u s "" "" w h y "" "" i t "" "" i s "" "" i m p o r t a n t "" "" t o "" "" g"
0,"n e t f l i x i n d i a "" "" r i g h t "" "" n o w "" "" i p l 2 0 2 1 "" "" i p l s u s p e n d e d "" "" k k r"
0,"c a n c e l "" "" i p l "" "" i s "" "" t r e n d i n g "" "" o n "" "" t w i t t e r "" "" s r h "" "" c s k "" "" m i "" "" d e l h i c a p i t a l s "" "" r c b "" "" r r "" "" k k r h a i t a i y a a r "" "" p u n j a b k i n g s"
1,"w h o "" "" i s "" "" b e s t "" "" f i n i s h e r "" "" i n "" "" i p l "" "" r i g h t "" "" n o w "" "" i p l 2 0 2 1 "" "" r c b "" "" m i "" "" k k r"
1,"w h i c h "" "" p h r a s e s "" "" d i d "" "" y o u "" "" h e a r "" "" g r o w i n g "" "" u p "" "" a n d "" "" o r "" "" u s e "" "" y o u r s e l f "" "" i n "" "" a d u l t h o o d "" "" i "" "" d "" "" b e "" "" r e a l l y "" "" i n t e r e s t e d "" "" t o "" "" k n o w"
1,"o n l y "" "" h a p p i n e s s "" "" i n "" "" t h e s e "" "" t o u g h "" "" t i m e s "" "" w i l l "" "" m i s s "" "" y o u "" "" i p l 2 0 2 1 "" "" c o m e "" "" b a c k "" "" s o o o o n "" "" i p l s u s p e n d e d "" "" c s k "" "" r c b "" "" m i "" "" s r h"
0,"k k r "" "" f a n s "" "" a f t e r "" "" k n o w i n g "" "" i p l s u s p e n d e d"
0,"f a n "" "" r e a c t i o n "" "" a f t e r "" "" i p l "" "" i s "" "" p o s t p o n e d "" "" i p l c a n c e l "" "" i p l 2 0 2 1 "" "" i p l c o v i d b r e a c h "" "" i p l p o s t p o n e d "" "" i p l n e w s"
0,"r r "" "" s t i l l "" "" c o i l i n g "" "" b u t "" "" v o l u m e "" "" h a s "" "" s t o p p e d "" "" d e c r e a s i n g "" "" t e c h n i c a l l y "" "" i t "" "" s t a r t i n g "" "" t o "" "" l o o k "" "" s h a k y "" "" n e e d s "" "" t o "" "" b r e a k o u t "" "" w i"
0,"v e g a s "" "" t h e "" "" m u r d e r s "" "" h o w "" "" a "" "" w e a l t h y "" "" m a n "" "" c a n "" "" g o "" "" b e r s e r k "" "" t o d a y s h o w "" "" b r e i t b a r t n e w s"
1,"r t "" "" p e a c e 2 5 6 6 6 7 4 3 "" "" s t i l l "" "" c s k "" "" f a n s "" "" c r y i n g "" "" o n "" "" r c b "" "" g o o d "" "" p e r f o r m a n c e "" "" i n "" "" t h i s "" "" y e a r "" "" i p l "" "" c o v i d "" "" n a l a "" "" t h a n "" "" d a "" "" i p l "" "" s t o p "" "" a c h u "" "" 2 1 8 "" "" a d i c h u m "" "" t h o t h a "" "" t e a"
1,"r t "" "" i p l "" "" 7 "" "" 6 "" "" o f f "" "" 3 "" "" 4 "" "" d e l i v e r i e s "" "" a n "" "" a b d "" "" s p e c i a l "" "" t h a t "" "" s e t "" "" u p "" "" a "" "" w i n "" "" f o r "" "" r c b t w e e t s "" "" a g a i n s t "" "" k k r "" "" v i v o i p l "" "" k k r v r c b "" "" l e t "" "" r e l i v e "" "" t h"
1,"i p l 2 0 2 1 "" "" i r f a n p a t h a n "" "" h a i l s "" "" m s "" "" d h o n i "" "" l e a d e r s h i p "" "" f o l l o w i n g "" "" c s k "" "" s "" "" g l o r i o u s "" "" r e s u r g e n c e "" "" i p l "" "" i p l c o v i d b r e a c h"
1,"s e e "" "" a "" "" v i r t u a l "" "" t o u r "" "" o f "" "" o n e "" "" o f "" "" o u r "" "" n e w e s t "" "" l i s t i n g s "" "" 5 3 2 6 "" "" p r o v o s t "" "" d r i v e "" "" s t e r l i n g h e i g h t s "" "" m i"
1,"r t "" "" i g t a m i l "" "" w e l l "" "" p l a y e d "" "" r u t u r a j g a i k w a d "" "" c s k "" "" c s k v s k k r "" "" y o u r "" "" v i e w s"
0,"m u f a d d a l "" "" v o h r a "" "" b u t "" "" b u t "" "" f a u l t "" "" i s "" "" o f "" "" v a r u n "" "" c h a k r a v a r t i "" "" n d "" "" k k r"
1,"r t "" "" e s p n c r i c i n f o "" "" i f "" "" e v e r y o n e "" "" f i t "" "" w h a t "" "" w o u l d "" "" y o u "" "" w a n t "" "" s r h "" "" i d e a l "" "" x i "" "" t o "" "" l o o k "" "" l i k e"
0,"t h i s "" "" w i l l "" "" b e "" "" t h e "" "" c u r r e n t "" "" s i t u a t i o n "" "" o f "" "" t h e "" "" t e a m s "" "" w h e n "" "" t h e "" "" b c c i "" "" c a n c e l s "" "" t h e "" "" i p l "" "" i p l "" "" b c c i "" "" m u m b a i i n d i a n s"
0,"i p l "" "" 2 0 2 1 "" "" h a s "" "" b e e n "" "" s u s p e n d e d "" "" i p l 2 0 2 1 "" "" c s k "" "" s r h "" "" m i "" "" r c b "" "" r r "" "" k k r "" "" d c "" "" p b k s"
1,"r t "" "" i t z "" "" n a g u "" "" m i "" "" f a n s"
0,"l o o k i n g "" "" b a c k "" "" o r g a n i s e r s "" "" m a y "" "" h a v e "" "" t w e a k e d "" "" f e w "" "" t h i n g s "" "" s a y s "" "" c u m m i n s "" "" o n "" "" h o s t i n g "" "" i p l "" "" i n "" "" i n d i a "" "" i p l 2 0 2 1 s u s p e n d e d"
0,"i p l c a n c e l "" "" r r "" "" k k r "" "" a m p "" "" s r h "" "" s i t u a t i o n "" "" r i g h t "" "" n o w "" "" i p l c a n c e l "" "" k y u "" "" h o "" "" g y a"
1,"j u s t "" "" i n "" "" m a n "" "" o f "" "" t h e "" "" t o u r n a m e n t "" "" a w a r d "" "" g o e s "" "" t o "" "" 3 d "" "" p l a y e r "" "" v i j a y s h a n k a r "" "" i p l "" "" i p l c a n c e l "" "" c o n g r a t u l a t i o n s "" "" s i r"
1,"r t "" "" k l a a s s y g a j a l "" "" o h "" "" m y "" "" l o r d "" "" g o "" "" b o i "" "" k l r a h u l 1 1 "" "" w i n "" "" t h e "" "" m a t c h "" "" t o d a y "" "" p b k s v s r h "" "" p u n j a b k i n g s "" "" s r h v s p b k s"
1,"c h e c k "" "" o u t "" "" o u r "" "" r e v i e w "" "" o f "" "" o n e "" "" o f "" "" t h e "" "" m o s t "" "" p o p u l a r "" "" l a p t o p "" "" i n "" "" i n d i a "" "" f r o m "" "" m i "" "" m i "" "" l a p t o p"
0,"r t "" "" r a j u o f f i "" "" s r h v m i "" "" s r h "" "" a n d "" "" k k r "" "" t e a m s "" "" a n d "" "" f a n s "" "" a f t e r "" "" s e e i n g "" "" c a n c e l "" "" i p l "" "" i s "" "" t r e n d i n g "" "" i p l c a n c e l "" "" i p l c o v i d b r e a c h "" "" i p l 2 0 2 1 "" "" h t t p s "" "" t "" "" c o"
0,"i p l 2 0 2 1 "" "" d e l h i "" "" b c c i "" "" k k r "" "" a r u n d h u m a l "" "" h o w "" "" d i d "" "" c o v i d "" "" 1 9 "" "" v i r u s "" "" t r a v e l "" "" f r o m "" "" k k r "" "" b i o "" "" b u b b l e "" "" t o "" "" d e l h i "" "" c a p i t a l s "" "" d r e s s i n"
0,"r b c "" "" f u l l "" "" f o r m "" "" c h a p p a r a "" "" y e v a r i n a "" "" r c b"
1,"r t "" "" a p l a y b o l d "" "" w h a t "" "" a "" "" p e r s o n "" "" w h o "" "" s u r v i v e "" "" l o v e "" "" e v e r y t i m e "" "" a n d "" "" e v e r y w h e r e "" "" n o "" "" m a t t e r "" "" w h a t "" "" i s "" "" h a p p e n i n g "" "" j u s t "" "" s u r v i v i n g "" "" l o v e "" "" s o "" "" o n l y "" "" i m "" "" v"
1,"r t "" "" p r i 4 5 "" "" l o o k "" "" w h o "" "" j o i n s "" "" t h e "" "" m i "" "" w a g s "" "" y e s "" "" y o u "" "" s a w "" "" i t "" "" r i g h t "" "" i t "" "" s a n j a n a g a n e s a n "" "" m u m b a i i n d i a n s "" "" m i "" "" i p l 2 0 2 1"
1,"s u r r o u n d "" "" y o u r s e l f "" "" w i t h "" "" m o t i v a t e "" "" p e o p l e "" "" z o e y s p l a y l i s t "" "" c o v i d e m e r g e n c y i n d i a "" "" d a y 6"
1,"i "" "" w a s "" "" r e a l l y "" "" e x c i t e d "" "" t o "" "" s e e "" "" r c b "" "" l i f t i n g "" "" t h e "" "" t r o p h y "" "" i p l c a n c e l "" "" i p l c o v i d b r e a c h "" "" r c b"
1,"c h e c k "" "" o u t "" "" o u r "" "" l i s t i n g "" "" i n "" "" l i n c o l n p a r k "" "" m i "" "" r e a l e s t a t e "" "" r e a l t o r"
1,"o u r "" "" r e s i d e n t s "" "" e n j o y e d "" "" l u n c h t i m e "" "" e n t e r t a i n m e n t "" "" t o d a y "" "" c o m p l e t e "" "" w i t h "" "" m a r g a r i t a s "" "" t o "" "" c e l e b r a t e "" "" c i n c o d e m a y o"
1,"i t "" "" o v e r "" "" t a t a "" "" b y e "" "" b y e "" "" i p l 2 0 2 1 "" "" c r i c c r a z y n i k s "" "" c r i c k e t a a k a s h "" "" b h o g l e h a r s h a "" "" m i c h a e l v a u g h a n "" "" m i "" "" c s k "" "" r c b "" "" s r h"
1,"e x c i t e d "" "" t o "" "" s e e "" "" m o r e "" "" a m e r i c o r p s s r "" "" f o s t e r g r a n d p a r e n t "" "" v o l u n t e e r s "" "" w i l l "" "" s o o n "" "" b e "" "" m a k i n g "" "" a "" "" d i f f e r e n c e "" "" i n "" "" t h e "" "" l i v e s "" "" o f "" "" y o"
1,"r t "" "" t h e l a l i t h k u m a r "" "" h o w "" "" i t "" "" s t a r t e d "" "" h o w "" "" i t "" "" g o i n g "" "" o n "" "" s r h "" "" n o w a r n e r n o s r h "" "" d a v i d w a r n e r 3 1 "" "" b r i n g b a c k w a r n e r "" "" o r a n g e a r m y "" "" h t t p s"
1,"w e "" "" a r e "" "" l o o k i n g "" "" f o r "" "" a "" "" b u y e r "" "" o n "" "" 6 1 4 7 "" "" s "" "" b e l s a y "" "" r o a d "" "" g r a n d b l a n c t w p "" "" m i "" "" r e a l e s t a t e"
1,"r t "" "" c o m e o n c r i c k e t "" "" h e r e "" "" o u r "" "" d c "" "" v s "" "" k k r "" "" p r e v i e w "" "" o n "" "" y o u t u b e"
1,"r t "" "" e x c e l l e a r n i n g 3 "" "" 1 2 "" "" s h o r t c u t "" "" k e y s "" "" c t r l "" "" f 1 "" "" t o "" "" c t r l "" "" f 1 2 "" "" i n "" "" e x c e l "" "" c l i c k "" "" h e r e "" "" v l o o k u p "" "" w i t h "" "" e a s y "" "" e x a m p l e s"
1,"r t "" "" s u n r i s e r s "" "" f r o m "" "" i m v k o h l i "" "" t o "" "" i n d i "" "" r a e "" "" w a r n e r "" "" o r a n g e a r m y "" "" k e e p r i s i n g "" "" s r h"
1,"r t "" "" i t z t h a n e s h "" "" c s k "" "" c e o "" "" l a t e s t "" "" i n t e r v i e w "" "" t h e "" "" i p l "" "" s o p s "" "" s a y "" "" i f "" "" a n y "" "" m e m b e r "" "" o f "" "" t h e "" "" t e a m "" "" i s "" "" i n f e c t e d "" "" t h e "" "" r e s t "" "" o f "" "" t h e "" "" g r o u p "" "" n e e d s "" "" t o "" "" i s o l a t e"
1,"d h o n i i s m "" "" m s d h o n i "" "" c h e n n a i i p l "" "" c s k "" "" v s "" "" k k r "" "" 2 0 1 2 "" "" f i n a l s "" "" b i s b a "" "" u n b e a t e n "" "" k n o c k "" "" a g a i n s t "" "" u s"
1,"a l a n "" "" h o s u r "" "" s o "" "" s r h "" "" t h e "" "" m o s t "" "" h a p p i e s t "" "" t e a m "" "" n a "" "" i p l c a n c e l "" "" i p l c o v i d b r e a c h"
1,"r t "" "" m a h i t o s h "" "" m a i t i i "" "" a b "" "" d e v i l l i e r s "" "" h a s "" "" w o n "" "" t h e "" "" 2 5 t h "" "" m a n "" "" o f "" "" t h e "" "" m a t c h "" "" a w a r d "" "" m o s t "" "" b y "" "" a n y "" "" p l a y e r "" "" i n "" "" i p l "" "" h i s t o r y "" "" i n "" "" t h i s "" "" f o r m a t "" "" r c b "" "" a"
1,"r c b "" "" e "" "" s a l a "" "" c u p "" "" n a m d e "" "" v i v o i p l "" "" p o i n t s "" "" a f t e r "" "" m 0 "" "" d c "" "" 1 2 "" "" c s k "" "" 1 0 "" "" r c b "" "" 1 0 "" "" m i "" "" 8 "" "" r r "" "" 6 "" "" p b k s "" "" 6 "" "" k k r "" "" 4 "" "" s r h "" "" 2"
1,"s u b h a "" "" v i r a t "" "" g o o d "" "" n i g h t "" "" b r o "" "" r c b "" "" p l a y b o l d "" "" m a s t e r"
1,"b r i n g b a c k w a r n e r "" "" w e "" "" w a n t "" "" w a r n e r "" "" b a c k "" "" a s "" "" c a p t a i n "" "" o f "" "" s r h "" "" t e a m "" "" d a v i d w a r n e r "" "" c a n d y w a r n e r "" "" s r h "" "" b r i n g b a c k w a r n e r"
1,"r t "" "" m i t n f c 2 o "" "" t h e "" "" b i g "" "" m a n "" "" c s k v s m i "" "" i p l 2 0 2 1 "" "" o n e f a m i l y "" "" m u m b a i i n d i a n s "" "" m i "" "" d r e a m 1 1 i p l "" "" m i "" "" m u m b a i i n d i a n s t n f c 2 o "" "" k i n g o f i p l m u m b a i i n d i"
1,"s e e "" "" a "" "" v i r t u a l "" "" t o u r "" "" o f "" "" m y "" "" l i s t i n g "" "" o n "" "" 4 3 1 9 1 "" "" d a l c o m a "" "" c l i n t o n t o w n s h i p "" "" m i "" "" r e a l e s t a t e"
0,"r t "" "" r a m v i g n e s h "" "" 3 "" "" a k "" "" p l e a s e "" "" b e "" "" s a f e "" "" a l l "" "" c r i c k e t e r s "" "" w h o "" "" a r e "" "" a l l "" "" p l a y i n g "" "" i p l "" "" y o u "" "" a r e "" "" t a k i n g "" "" r i s k "" "" a n d "" "" e n t e r t a i n i n g "" "" u s "" "" t a k e "" "" c a r e "" "" o f "" "" y o u r s e l f"
1,"s u n r i s e r s "" "" r e t a i n "" "" t h i s "" "" l e g e n d "" "" i n "" "" m e g a "" "" a u c t i o n "" "" c a n t "" "" i m a g i n e "" "" h i m "" "" i n "" "" a n o t h e r "" "" j e r s e y "" "" a n "" "" e d i t "" "" f r o m "" "" m e "" "" t o "" "" d a v i d "" "" e x p l o s i"
0,"r t "" "" c o m e o n c r i c k e t "" "" g e t "" "" y o u r "" "" m o n e y "" "" b a c k "" "" a s "" "" a "" "" f r e e "" "" b e t "" "" o n "" "" y o u r "" "" f i r s t "" "" l o s i n g "" "" b e t "" "" d u r i n g "" "" t h e "" "" i p l 2 0 2 1 "" "" r r "" "" s r h"
1,"h e l l o "" "" t o "" "" a l l "" "" r c b "" "" f a n s "" "" a n d "" "" a l s o "" "" r e q u e s t "" "" y o u "" "" t o "" "" p u t "" "" a n "" "" i n "" "" t h e "" "" p o s t "" "" f o r "" "" i m v k o h l i"
1,"r t "" "" b h a r a t h "" "" s r h 3 "" "" s r h "" "" f a n s "" "" r i g h t "" "" n o w"
1,"h i g h e s t "" "" s t r i k e "" "" r a t e "" "" i n "" "" t 2 0 s "" "" i n "" "" 2 0 2 1 "" "" m i n "" "" 3 0 0 "" "" r u n s "" "" f i n n "" "" a l l e n "" "" 1 9 6 "" "" 3 3 "" "" w i l l "" "" y o u n g "" "" 1 6 7 "" "" 7 4 "" "" p r i t h v i "" "" s h a w "" "" 1 6 6 "" "" 4 8"
1,"c a n d i c e w a r n e r 3 1 "" "" d a v i d w a r n e r 3 1 "" "" d a v i d "" "" w a r n e r "" "" i s "" "" a "" "" t r u e "" "" l e g e n d "" "" i n d i a "" "" l o v e s "" "" w a r n e r "" "" w a r n e r "" "" l o v e s "" "" i n d i a "" "" h e"
1,"r t "" "" m a x i t h e b i g s h o w "" "" k k r "" "" 2 3 9 "" "" 7 "" "" 1 9 "" "" 5 "" "" o v e r s "" "" s "" "" g i l l "" "" 7 "" "" 5 "" "" n "" "" r a n a "" "" 2 0 "" "" 1 4 "" "" r "" "" t r i p a t h i "" "" 2 4 "" "" 1 6 "" "" s "" "" n a r i n e "" "" 8 "" "" 7 "" "" e "" "" m o r g a n "" "" 3 6 "" "" 2 0 "" "" a "" "" r u s s e l l"
1,"r t "" "" r e a l k a b i r 3 3 9 "" "" f r i e n d s h i p "" "" i s "" "" t h e "" "" o n l y "" "" c e m e n t "" "" t h a t "" "" w i l l "" "" e v e r "" "" h o l d "" "" t h e "" "" w o r l d "" "" t o g e t h e r "" "" v i r a t "" "" a n d "" "" a b d "" "" f r i e n d s h i p "" "" i m v k o h l i "" "" a b d e v i"
1,"t e l l "" "" u s "" "" a b o u t "" "" t h a t "" "" t w o "" "" p l a y e r s "" "" i n "" "" i p l "" "" 2 0 2 1 "" "" w h o "" "" i m p r e s s e d "" "" y o u "" "" t h e "" "" m o s t "" "" s o "" "" f a r "" "" w h o "" "" d i s a p p o i n t e d "" "" y o u "" "" t h e "" "" m o s t"
1,"r t "" "" i p l "" "" 7 "" "" 6 "" "" o f f "" "" 3 "" "" 4 "" "" d e l i v e r i e s "" "" a n "" "" a b d "" "" s p e c i a l "" "" t h a t "" "" s e t "" "" u p "" "" a "" "" w i n "" "" f o r "" "" r c b t w e e t s "" "" a g a i n s t "" "" k k r "" "" v i v o i p l"
1,"c h e c k "" "" o u t "" "" o u r "" "" l i s t i n g "" "" i n "" "" h o p e "" "" m i "" "" r e a l e s t a t e "" "" r e a l t o r"
0,"h a d "" "" e v e r y t h i n g "" "" b e i n g "" "" g o o d "" "" t h e n "" "" i "" "" w o u l d "" "" b e "" "" s e e i n g "" "" c s k "" "" v s "" "" r r "" "" n o w "" "" i p l 2 0 2 1 "" "" i p l c a n c e l "" "" i p l "" "" i p l p o s t p o n e d "" "" i p l c a n c e l l e d "" "" c s k "" "" r r"
0,"w e d n e s d a y "" "" i p l 2 0 2 1 "" "" g a m e "" "" b e t w e e n "" "" r r "" "" a n d "" "" c s k "" "" i s "" "" o n "" "" t h e "" "" v e r g e "" "" o f "" "" b e i n g "" "" r e s c h e d u l e d "" "" a f t e r "" "" t h e "" "" s u p e r "" "" k i n g s "" "" i n f o r m e d"
1,"p s g "" "" p a r i s "" "" s a i n t "" "" g e r m a i n "" "" i s "" "" j u s t "" "" l i k e "" "" r c b "" "" o f "" "" f o o t b a l l "" "" d e s p i t e "" "" h a v i n g "" "" m b a p p e "" "" n e y m a r "" "" n a v a s "" "" d i "" "" m a r i a "" "" i c a r d i "" "" h e a"
1,"s r h "" "" w o n "" "" t h e "" "" t o s s "" "" a m p "" "" c h o o s e "" "" t o "" "" f i e l d "" "" w a r n e r "" "" i n "" "" n a b i "" "" o u t "" "" m i v s s r h"
0,"r t "" "" s h o u n a k "" "" 7 2 "" "" i t "" "" h a r d "" "" t o "" "" b e l i e v e "" "" t h a t "" "" w e "" "" w i l l "" "" n o t "" "" b e "" "" a b l e "" "" t o "" "" m s d h o n i "" "" p l a y i n g "" "" c r i c k e t "" "" t h i s "" "" y e a r "" "" c s k "" "" w h i s t l e p o d u "" "" i p l 2 0 2 1 "" "" i p l"
0,"i p l "" "" s u s p e n d e d "" "" f o r "" "" t h i s "" "" s e a s o n "" "" t h e i p l "" "" i p l s u s p e n d e d "" "" c o v i d "" "" c o v i d 1 9 "" "" i p l "" "" i p l 2 0 2 1 "" "" d r e a m 1 1 "" "" d r e a m 1 1 i p l "" "" c s k "" "" r c b"
0,"r t "" "" s i g n i n g "" "" o f f "" "" f r o m "" "" a h m e d a b a d "" "" w e "" "" w i l l "" "" b e "" "" b a c k "" "" s o o n "" "" s t r o n g e r "" "" t i l l "" "" t h e n "" "" u r g i n g "" "" e v e r y o n e "" "" t o "" "" s t a y "" "" h o m e "" "" s t a y "" "" s a f"
1,"k k r "" "" f a n s "" "" t h e "" "" p r e v i e w "" "" o f "" "" i p l "" "" 2 0 2 1 "" "" i s "" "" l i v e "" "" o n "" "" y o u t u b e "" "" i f "" "" y o u "" "" a r e "" "" b o r e d "" "" a n d "" "" w a n t "" "" t o"
